資料序,季節,組別,date,Soil temperture,Soil  water content,ndvi,Relative humidity,Wind speed,Insolation,Temperature,Wind direction,Rainfall ,River flat area,PM10MAX,PM2.5,dustday
1756,乾季,,2015/3/22,s3,s1,s2,s1,s1,s7,s1,s1,s1,s4,s5_100_125,49,0
1757,乾季,,2015/3/23,s1,s3,s2,s5,s1,s1,s1,s1,s5,s4,s5_100_125,45,0
1758,乾季,,2015/3/24,s1,s1,s2,s1,s1,s7,s1,s1,s3,s4,s2_25_50,11,0
1759,乾季,,2015/3/25,s1,s3,s2,s6,s1,s1,s1,s1,s3,s4,s2_25_50,13,0
1760,乾季,,2015/3/26,s1,s5,s2,s6,s1,s1,s1,s4,s4,s4,s3_50_75,19,0
1761,乾季,,2015/3/27,s1,s5,s2,s6,s1,s1,s1,s1,s4,s4,s3_50_75,22,0
1762,乾季,,2015/3/28,s1,s3,s2,s1,s1,s7,s1,s1,s1,s4,s4_75_100,29,0
1763,乾季,,2015/3/29,s2,s3,s2,s1,s1,s7,s2,s4,s1,s4,s4_75_100,43,0
1764,乾季,,2015/3/30,s4,s1,s2,s2,s1,s5,s4,s4,s1,s4,s6_125_up,50,0
1765,乾季,,2015/3/31,s6,s1,s2,s1,s1,s7,s6,s2,s1,s4,s5_100_125,57,0
1766,乾季,,2015/4/1,s6,s1,s2,s4,s1,s7,s6,s2,s1,s4,s4_75_100,22,0
1767,乾季,,2015/4/2,s7,s1,s2,s4,s4,s7,s6,s3,s1,s4,s4_75_100,22,0
1768,乾季,,2015/4/3,s7,s3,s2,s1,s4,s7,s6,s3,s1,s4,s3_50_75,20,0
1769,乾季,,2015/4/4,s6,s1,s2,s1,s1,s7,s6,s2,s1,s4,s5_100_125,37,0
1770,乾季,,2015/4/5,s7,s3,s2,s1,s1,s7,s6,s2,s1,s4,s4_75_100,33,0
1771,乾季,,2015/4/6,s7,s1,s2,s2,s1,s6,s6,s1,s1,s4,s5_100_125,27,0
1772,乾季,,2015/4/7,s3,s1,s2,s1,s1,s3,s2,s1,s1,s4,s3_50_75,19,0
1773,乾季,,2015/4/8,s1,s1,s2,s1,s1,s1,s1,s1,s1,s4,s4_75_100,12,0
1774,乾季,,2015/4/9,s1,s1,s2,s4,s1,s7,s1,s1,s4,s4,s3_50_75,22,0
1775,乾季,,2015/4/10,s1,s1,s2,s5,s1,s1,s1,s1,s1,s4,s3_50_75,23,0
1776,乾季,,2015/4/11,s1,s6,s2,s6,s1,s1,s1,s1,s6,s4,s3_50_75,18,0
1777,乾季,,2015/4/12,s1,s5,s2,s5,s1,s2,s1,s1,s1,s4,s3_50_75,19,0
1778,乾季,,2015/4/13,s1,s3,s2,s1,s1,s7,s2,s1,s1,s4,s4_75_100,35,0
1779,乾季,,2015/4/14,s1,s1,s2,s1,s1,s7,s1,s1,s1,s4,s4_75_100,30,0
1780,乾季,,2015/4/15,s3,s1,s2,s1,s1,s7,s1,s2,s1,s4,s5_100_125,43,0
1781,乾季,,2015/4/16,s4,s1,s2,s1,s1,s7,s5,s2,s1,s4,s6_125_up,63,0
1782,乾季,,2015/4/17,s5,s1,s2,s1,s1,s7,s4,s2,s1,s4,s6_125_up,66,0
1783,乾季,,2015/4/18,s7,s1,s2,s4,s1,s2,s6,s3,s2,s4,s6_125_up,61,0
1784,乾季,,2015/4/19,s6,s5,s2,s1,s4,s1,s6,s2,s3,s4,s3_50_75,17,0
1785,乾季,,2015/4/20,s7,s3,s2,s1,s3,s2,s6,s2,s1,s4,s3_50_75,12,0
1786,乾季,,2015/4/21,s1,s5,s2,s5,s1,s1,s1,s1,s4,s4,s4_75_100,45,0
1787,乾季,,2015/4/22,s3,s3,s2,s1,s1,s7,s2,s1,s1,s4,s3_50_75,20,0
1788,乾季,,2015/4/23,s6,s1,s2,s2,s1,s2,s3,s4,s1,s4,s4_75_100,23,0
1789,乾季,,2015/4/24,s6,s1,s2,s5,s1,s1,s3,s1,s1,s4,s5_100_125,29,0
1790,乾季,,2015/4/25,s5,s1,s2,s1,s1,s7,s4,s1,s1,s4,s3_50_75,29,0
1791,乾季,,2015/4/26,s5,s1,s2,s1,s1,s7,s5,s4,s1,s4,s4_75_100,30,0
1792,乾季,,2015/4/27,s6,s1,s2,s4,s1,s7,s5,s2,s1,s4,s5_100_125,45,0
1793,乾季,,2015/4/28,s7,s1,s2,s1,s1,s7,s6,s2,s1,s4,s4_75_100,48,0
1794,乾季,,2015/4/29,s7,s1,s2,s4,s1,s7,s6,s3,s1,s4,s3_50_75,36,0
1795,乾季,,2015/4/30,s7,s1,s2,s2,s1,s7,s6,s4,s1,s5,s5_100_125,43,0
1796,濕季,,2015/5/1,s7,s1,s4,s4,s1,s1,s6,s4,s1,s5,s6_125_up,67,0
1797,濕季,,2015/5/2,s7,s1,s4,s1,s1,s7,s6,s3,s1,s5,s4_75_100,56,0
1798,濕季,,2015/5/3,s7,s1,s4,s1,s3,s2,s6,s2,s1,s5,s3_50_75,24,0
1799,濕季,,2015/5/4,s7,s5,s4,s6,s1,s2,s5,s3,s6,s5,s3_50_75,28,0
1800,濕季,,2015/5/5,s4,s6,s4,s6,s1,s1,s2,s4,s4,s5,s3_50_75,43,0
1801,濕季,,2015/5/6,s7,s3,s4,s5,s1,s2,s5,s4,s1,s5,s5_100_125,43,0
1802,濕季,,2015/5/7,s7,s3,s4,s5,s1,s2,s6,s1,s1,s5,s5_100_125,45,0
1803,濕季,,2015/5/8,s7,s1,s4,s4,s1,s7,s6,s3,s1,s5,s6_125_up,56,0
1804,濕季,,2015/5/9,s7,s1,s4,s3,s1,s7,s6,s4,s1,s5,s4_75_100,42,0
1805,濕季,,2015/5/10,s7,s1,s4,s5,s1,s7,s6,s1,s1,s5,s4_75_100,41,0
1806,濕季,,2015/5/11,s7,s1,s4,s5,s1,s1,s6,s3,s1,s5,s4_75_100,41,0
1807,濕季,,2015/5/12,s6,s5,s4,s5,s1,s3,s5,s1,s6,s5,s4_75_100,44,0
1808,濕季,,2015/5/13,s7,s3,s4,s1,s1,s7,s6,s2,s1,s5,s5_100_125,43,0
1809,濕季,,2015/5/14,s7,s1,s4,s3,s1,s7,s6,s2,s1,s5,s3_50_75,25,0
1810,濕季,,2015/5/15,s7,s3,s4,s4,s4,s7,s6,s2,s1,s5,s3_50_75,21,0
1811,濕季,,2015/5/16,s7,s1,s4,s1,s1,s7,s6,s3,s1,s5,s2_25_50,20,0
1812,濕季,,2015/5/17,s7,s1,s4,s2,s1,s7,s6,s2,s1,s5,s2_25_50,19,0
1813,濕季,,2015/5/18,s7,s1,s4,s1,s2,s7,s6,s2,s1,s5,s3_50_75,22,0
1814,濕季,,2015/5/19,s7,s1,s4,s1,s4,s2,s6,s3,s1,s5,s3_50_75,18,0
1815,濕季,,2015/5/20,s5,s7,s4,s6,s1,s1,s5,s2,s6,s5,s2_25_50,15,0
1816,濕季,,2015/5/21,s4,s7,s4,s6,s1,s1,s2,s1,s3,s5,s3_50_75,18,0
1817,濕季,,2015/5/22,s6,s7,s4,s6,s1,s1,s5,s1,s5,s5,s3_50_75,18,0
1818,濕季,,2015/5/23,s7,s7,s4,s6,s1,s1,s5,s2,s6,s5,s3_50_75,8,0
1819,濕季,,2015/5/24,s4,s7,s4,s6,s1,s1,s5,s3,s6,s5,s1_below_25,6,0
1820,濕季,,2015/5/25,s6,s7,s4,s6,s1,s1,s5,s1,s4,s5,s3_50_75,20,0
1821,濕季,,2015/5/26,s6,s7,s4,s6,s1,s1,s5,s2,s5,s5,s5_100_125,35,0
1822,濕季,,2015/5/27,s6,s7,s4,s6,s1,s1,s6,s2,s5,s5,s2_25_50,4,0
1823,濕季,,2015/5/28,s7,s7,s4,s5,s1,s2,s6,s2,s5,s5,s3_50_75,4,0
1824,濕季,,2015/5/29,s7,s7,s4,s4,s4,s7,s6,s2,s1,s5,s3_50_75,6,0
1825,濕季,,2015/5/30,s7,s6,s4,s4,s4,s3,s6,s3,s1,s5,s3_50_75,7,0
1826,濕季,,2015/5/31,s7,s7,s4,s6,s1,s1,s6,s2,s6,s5,s2_25_50,6,0
1827,濕季,,2015/6/1,s7,s7,s4,s5,s1,s2,s6,s2,s4,s5,s2_25_50,11,0
1828,濕季,,2015/6/2,s7,s7,s4,s1,s1,s7,s6,s2,s1,s5,s2_25_50,15,0
1829,濕季,,2015/6/3,s7,s6,s4,s1,s1,s7,s6,s3,s1,s5,s2_25_50,7,0
1830,濕季,,2015/6/4,s7,s6,s4,s4,s1,s2,s6,s1,s1,s5,s2_25_50,20,0
1831,濕季,,2015/6/5,s7,s6,s4,s2,s1,s7,s6,s3,s1,s5,s3_50_75,27,0
1832,濕季,,2015/6/6,s7,s7,s4,s6,s1,s1,s6,s2,s6,s5,s2_25_50,21,0
1833,濕季,,2015/6/7,s7,s7,s4,s6,s1,s3,s6,s2,s1,s5,s3_50_75,25,0
1834,濕季,,2015/6/8,s7,s6,s4,s1,s1,s7,s6,s3,s1,s5,s2_25_50,18,0
1835,濕季,,2015/6/9,s7,s6,s4,s1,s1,s7,s6,s2,s1,s5,s2_25_50,19,0
1836,濕季,,2015/6/10,s7,s6,s4,s1,s2,s7,s6,s2,s1,s5,s2_25_50,27,0
